Location,Obesity Percentage,Lower Limit,Upper Limit
"MontgomeryCounty,Georgia",40.1,27.4,52.8
"MorganCounty,Georgia",34.7,23.3,47.3
"MurrayCounty,Georgia",34.1,24.5,44.2
"MuscogeeCounty,Georgia",38.4,33.6,44
"NewtonCounty,Georgia",38.4,29.8,46.8
"OconeeCounty,Georgia",23.4,15.5,34
"OglethorpeCounty,Georgia",34.6,22.4,48.2
"PauldingCounty,Georgia",33.6,26.8,40.7
"PeachCounty,Georgia",37.2,26,50
"PickensCounty,Georgia",29.2,20.2,39.8
"PierceCounty,Georgia",36.2,23.9,49.2
"PikeCounty,Georgia",34.1,22.3,48.7
"PolkCounty,Georgia",37.8,26.2,50.1
"PulaskiCounty,Georgia",42.3,29.5,54.8
"PutnamCounty,Georgia",34.3,23.4,45.7
"QuitmanCounty,Georgia",28.9,14.2,47.8
"RabunCounty,Georgia",32.1,20.8,45.2
"RandolphCounty,Georgia",36.1,18.9,54.7
"RichmondCounty,Georgia",35.4,30.4,41.2
"RockdaleCounty,Georgia",41.8,31.8,52.6
"SchleyCounty,Georgia",26.3,15,41.9
"ScrevenCounty,Georgia",29.2,18.9,40.7
"SeminoleCounty,Georgia",30.7,17.1,45.8
"SpaldingCounty,Georgia",39.3,29.5,49.4
"StephensCounty,Georgia",37.5,26,49.7
"StewartCounty,Georgia",31.9,17.5,49.3
"SumterCounty,Georgia",36.7,26.2,48.6
"TalbotCounty,Georgia",36.6,22.6,50.8
"TaliaferroCounty,Georgia",35.4,15.7,58.6
"TattnallCounty,Georgia",43.3,31.4,54.9
"TaylorCounty,Georgia",38.5,24.1,54.5
"TelfairCounty,Georgia",24.9,16.5,36
"TerrellCounty,Georgia",33,16.2,52.4
"ThomasCounty,Georgia",32.4,23.3,42.6
"TiftCounty,Georgia",36,27.6,45.5
"ToombsCounty,Georgia",48.6,35.4,61.3
"TownsCounty,Georgia",25.8,16.4,38.7
"TreutlenCounty,Georgia",35.8,23.5,49.7
"TroupCounty,Georgia",40.3,29.5,52.3
"TurnerCounty,Georgia",38.9,25,54.2
"TwiggsCounty,Georgia",35.8,19.7,53.8
"UnionCounty,Georgia",26.4,17.8,37.5
"UpsonCounty,Georgia",26.3,17.2,38.1
"WalkerCounty,Georgia",37.1,29.7,45.8
"WaltonCounty,Georgia",27.8,21.5,34.9
"WareCounty,Georgia",36.2,26.5,46.2
"WarrenCounty,Georgia",57.9,38.1,75.4
"WashingtonCounty,Georgia",36.2,25.3,48.9
"WayneCounty,Georgia",40.9,30.1,53.3
