,Location,Obesity Percentage,Lower Limit,Upper Limit,Population
398,"CapeGirardeauCounty,Missouri",31.9,26.8,37.3,
399,"CapeMayCounty,NewJersey",28.7,25.5,32.2,
400,"CarbonCounty,Montana",27.9,21.5,34.7,
401,"CarbonCounty,Pennsylvania",36.6,27.7,46,
402,"CarbonCounty,Utah",27.1,23.3,31.3,
403,"CarbonCounty,Wyoming",30,25.5,35,
404,"CaribouCounty,Idaho",29.8,22.4,38.3,
405,"CarlisleCounty,Kentucky",26.6,18.1,36.1,
406,"CarltonCounty,Minnesota",30.6,26.9,34.9,
407,"CarolinaMunicipio,PuertoRico",No Data,No Data,No Data,
408,"CarolineCounty,Maryland",40.3,36.4,44.1,
409,"CarolineCounty,Virginia",41.2,30.3,51.9,
410,"CarrollCounty,Arkansas",27,19.9,34.4,
411,"CarrollCounty,Georgia",39.8,31.4,47.9,
412,"CarrollCounty,Illinois",24.4,15.3,36.2,
413,"CarrollCounty,Indiana",37.5,29.2,45.7,
414,"CarrollCounty,Iowa",33.9,27.1,40.7,
415,"CarrollCounty,Kentucky",29,19.7,39.1,
416,"CarrollCounty,Maryland",32.6,29,36.4,
417,"CarrollCounty,Mississippi",34.7,26,44.1,
418,"CarrollCounty,Missouri",37.9,29.6,47.2,
419,"CarrollCounty,NewHampshire",27.6,24.2,31,
420,"CarrollCounty,Ohio",38.7,31.6,46.6,
421,"CarrollCounty,Tennessee",30,23,37.6,
422,"CarrollCounty,Virginia",31.3,23.5,39.2,
423,"CarsonCity,Nevada",28.4,24.2,32.9,
424,"CarsonCounty,Texas",26.8,15.8,41.6,
425,"CarterCounty,Kentucky",40,34.5,46.3,
426,"CarterCounty,Missouri",27,17.3,37.6,
427,"CarterCounty,Montana",34.1,24.4,45.1,
428,"CarterCounty,Oklahoma",38.8,33.4,44.4,
429,"CarterCounty,Tennessee",38.3,31.7,45.4,
430,"CarteretCounty,NorthCarolina",31.9,25.3,39.4,
431,"CarverCounty,Minnesota",23.1,19.8,26.9,
432,"CascadeCounty,Montana",26.9,24.2,29.9,
433,"CaseyCounty,Kentucky",35.3,28.3,43,
434,"CassCounty,Illinois",34.5,21.9,48.6,
435,"CassCounty,Indiana",31.8,25.5,39.1,
436,"CassCounty,Iowa",34.1,26.9,42,
437,"CassCounty,Michigan",40.5,32,49.4,
438,"CassCounty,Minnesota",30.8,26.3,35.5,
439,"CassCounty,Missouri",36.7,31.4,42.1,
440,"CassCounty,Nebraska",39.9,36.7,43.3,
441,"CassCounty,NorthDakota",31.4,29.6,33.4,
442,"CassCounty,Texas",37.3,25.2,51.2,
443,"CassiaCounty,Idaho",37.9,31.8,43.8,
444,"CastroCounty,Texas",27,15.6,41.8,
445,"CaswellCounty,NorthCarolina",28.1,17.1,42.1,
446,"CatahoulaParish,Louisiana",37.1,27,48.4,
447,"CatawbaCounty,NorthCarolina",31.3,25.2,37.3,
448,"CatañoMunicipio,PuertoRico",No Data,No Data,No Data,
449,"CatoosaCounty,Georgia",39,30.3,49,
450,"CatronCounty,NewMexico",25.2,17.7,33.5,
451,"CattaraugusCounty,NewYork",37.8,33.8,42.2,
452,"CavalierCounty,NorthDakota",35.8,27.8,43.6,
453,"CayeyMunicipio,PuertoRico",No Data,No Data,No Data,
454,"CayugaCounty,NewYork",34,30,38.6,
455,"CecilCounty,Maryland",32.4,29.3,35.7,
456,"CedarCounty,Iowa",34.5,26.8,43,
457,"CedarCounty,Missouri",34,23,47.7,
458,"CedarCounty,Nebraska",36.6,32.6,41.1,
459,"CeibaMunicipio,PuertoRico",No Data,No Data,No Data,
460,"CentreCounty,Pennsylvania",25.4,21.6,29.2,
461,"CerroGordoCounty,Iowa",30,24.6,35.9,
462,"ChaffeeCounty,Colorado",14.8,11,19.4,
463,"ChambersCounty,Alabama",40.2,32.1,48.6,
464,"ChambersCounty,Texas",27.5,17.6,40.5,
465,"ChampaignCounty,Illinois",31.1,25.7,37,
466,"ChampaignCounty,Ohio",31.6,23.5,40.5,
467,"CharitonCounty,Missouri",28.7,20.6,38,
468,"CharlesCityCounty,Virginia",34,19.6,51.9,
469,"CharlesCounty,Maryland",35.8,33.2,38.6,
