,Location,Obesity Percentage,Lower Limit,Upper Limit,Population
378,"Cambria County,  Pennsylvania",26.5,21,32.3,
379,"Camden County,  Georgia",39.1,30.6,47.8,
380,"Camden County,  Missouri",22,15.8,29.1,
381,"Camden County,  New Jersey",31.2,28.6,34.2,"507,078.00"
382,"Camden County,  North Carolina",32.1,22.1,44.8,
383,"Cameron County,  Pennsylvania",23.4,14,36.3,
384,"Cameron County,  Texas",30.9,25.5,36.7,"423,908.00"
385,"Cameron Parish,  Louisiana",34.4,22.5,48.7,
386,"Camp County,  Texas",27.5,15,44.2,
387,"Campbell County,  Kentucky",31,26.1,36.2,
388,"Campbell County,  South Dakota",30.3,19.4,42.3,
389,"Campbell County,  Tennessee",33.2,24.9,42.3,
390,"Campbell County,  Virginia",35.9,29.8,42.8,
391,"Campbell County,  Wyoming",31.7,28.5,35.3,
392,"Camuy Municipio,  Puerto Rico",No Data,No Data,No Data,
393,"Canadian County,  Oklahoma",34.8,31,38.5,
394,"Candler County,  Georgia",50.2,34.6,64,
395,"Cannon County,  Tennessee",37,26.3,48.7,
396,"Canyon County,  Idaho",34.8,32.2,37.8,
397,"Canóvanas Municipio,  Puerto Rico",No Data,No Data,No Data,
398,"Cape Girardeau County,  Missouri",31.9,26.8,37.3,
399,"Cape May County,  New Jersey",28.7,25.5,32.2,
400,"Carbon County,  Montana",27.9,21.5,34.7,
401,"Carbon County,  Pennsylvania",36.6,27.7,46,
402,"Carbon County,  Utah",27.1,23.3,31.3,
403,"Carbon County,  Wyoming",30,25.5,35,
404,"Caribou County,  Idaho",29.8,22.4,38.3,
405,"Carlisle County,  Kentucky",26.6,18.1,36.1,
406,"Carlton County,  Minnesota",30.6,26.9,34.9,
407,"Carolina Municipio,  Puerto Rico",No Data,No Data,No Data,
408,"Caroline County,  Maryland",40.3,36.4,44.1,
409,"Caroline County,  Virginia",41.2,30.3,51.9,
410,"Carroll County,  Arkansas",27,19.9,34.4,
411,"Carroll County,  Georgia",39.8,31.4,47.9,
412,"Carroll County,  Illinois",24.4,15.3,36.2,
413,"Carroll County,  Indiana",37.5,29.2,45.7,
414,"Carroll County,  Iowa",33.9,27.1,40.7,
415,"Carroll County,  Kentucky",29,19.7,39.1,
416,"Carroll County,  Maryland",32.6,29,36.4,
417,"Carroll County,  Mississippi",34.7,26,44.1,
418,"Carroll County,  Missouri",37.9,29.6,47.2,
419,"Carroll County,  New Hampshire",27.6,24.2,31,
420,"Carroll County,  Ohio",38.7,31.6,46.6,
421,"Carroll County,  Tennessee",30,23,37.6,
422,"Carroll County,  Virginia",31.3,23.5,39.2,
423,"Carson City,  Nevada",28.4,24.2,32.9,
424,"Carson County,  Texas",26.8,15.8,41.6,
425,"Carter County,  Kentucky",40,34.5,46.3,
426,"Carter County,  Missouri",27,17.3,37.6,
427,"Carter County,  Montana",34.1,24.4,45.1,
428,"Carter County,  Oklahoma",38.8,33.4,44.4,
429,"Carter County,  Tennessee",38.3,31.7,45.4,
430,"Carteret County,  North Carolina",31.9,25.3,39.4,
431,"Carver County,  Minnesota",23.1,19.8,26.9,
432,"Cascade County,  Montana",26.9,24.2,29.9,
433,"Casey County,  Kentucky",35.3,28.3,43,
434,"Cass County,  Illinois",34.5,21.9,48.6,
435,"Cass County,  Indiana",31.8,25.5,39.1,
436,"Cass County,  Iowa",34.1,26.9,42,
437,"Cass County,  Michigan",40.5,32,49.4,
438,"Cass County,  Minnesota",30.8,26.3,35.5,
439,"Cass County,  Missouri",36.7,31.4,42.1,
440,"Cass County,  Nebraska",39.9,36.7,43.3,
441,"Cass County,  North Dakota",31.4,29.6,33.4,
442,"Cass County,  Texas",37.3,25.2,51.2,
443,"Cassia County,  Idaho",37.9,31.8,43.8,
444,"Castro County,  Texas",27,15.6,41.8,
445,"Caswell County,  North Carolina",28.1,17.1,42.1,
446,"Catahoula Parish,  Louisiana",37.1,27,48.4,
447,"Catawba County,  North Carolina",31.3,25.2,37.3,
448,"Cataño Municipio,  Puerto Rico",No Data,No Data,No Data,
449,"Catoosa County,  Georgia",39,30.3,49,
450,"Catron County,  New Mexico",25.2,17.7,33.5,
451,"Cattaraugus County,  New York",37.8,33.8,42.2,
452,"Cavalier County,  North Dakota",35.8,27.8,43.6,
453,"Cayey Municipio,  Puerto Rico",No Data,No Data,No Data,
454,"Cayuga County,  New York",34,30,38.6,
455,"Cecil County,  Maryland",32.4,29.3,35.7,
456,"Cedar County,  Iowa",34.5,26.8,43,
457,"Cedar County,  Missouri",34,23,47.7,
458,"Cedar County,  Nebraska",36.6,32.6,41.1,
459,"Ceiba Municipio,  Puerto Rico",No Data,No Data,No Data,
460,"Centre County,  Pennsylvania",25.4,21.6,29.2,
461,"Cerro Gordo County,  Iowa",30,24.6,35.9,
462,"Chaffee County,  Colorado",14.8,11,19.4,
463,"Chambers County,  Alabama",40.2,32.1,48.6,
464,"Chambers County,  Texas",27.5,17.6,40.5,
465,"Champaign County,  Illinois",31.1,25.7,37,
466,"Champaign County,  Ohio",31.6,23.5,40.5,
467,"Chariton County,  Missouri",28.7,20.6,38,
468,"Charles City County,  Virginia",34,19.6,51.9,
469,"Charles County,  Maryland",35.8,33.2,38.6,
470,"Charles Mix County,  South Dakota",43.2,31.7,54.8,
471,"Charleston County,  South Carolina",26.5,24.4,28.6,"405,905.00"
472,"Charlevoix County,  Michigan",34.1,25.9,42.4,
473,"Charlotte County,  Florida",28.5,25.1,31.9,
474,"Charlotte County,  Virginia",39.9,30.8,50.2,
475,"Charlottesville City,  Virginia",29.3,21.6,37.9,
476,"Charlton County,  Georgia",35.4,23.4,48.6,
477,"Chase County,  Kansas",34.8,25.9,45.2,
478,"Chase County,  Nebraska",31.9,25.3,38.9,
479,"Chatham County,  Georgia",32.3,27.6,37,"289,195.00"
